Price;ft2;Location;No. of Bedrooms
45000000;4500;Sector 6 Dwarka;5
15000000;1600;Sector 12 Dwarka;3
8200000;1125;Sector 23 Rohini;3
8000000;1125;Sector 23 Rohini;3
17500000;1800;Sector 23 Dwarka;3
3700000;855;Jamia Nagar;3
3600000;855;Jamia Nagar;3
2500000;540;Jamia Nagar;2
3800000;1000;Jamia Nagar;3
3700000;855;Jamia Nagar;3
2200000;585;Jamia Nagar;2
3700000;855;Jamia Nagar;3
15800000;1600;Sector 3 Dwarka;3
20000000;2000;Sector 12 Dwarka;4
17500000;1800;Sector 23 Dwarka;3
6000000;900;Budh Vihar;3
18500000;1800;Sector 25 Rohini;4
2400000;585;Jamia Nagar;2
14900000;1700;Sector 11 Dwarka;3
16200000;1600;Sector 10 Dwarka;3
16000000;1800;Sector 10 Dwarka;3
15000000;1800;Sector 19 Dwarka;3
17500000;1750;Sector 22 Dwarka;3
16200000;1800;Sector-18 Dwarka;3
16200000;1800;Sector-18 Dwarka;3
16000000;1650;Sector 6 Dwarka;3
30000000;2500;Sector 13 Dwarka;4
15500000;1800;Sector 5 Dwarka;3
3000000;1050;Jamia Nagar;3
2500000;750;Jamia Nagar;2
2200000;750;Jamia Nagar;2
23000000;2700;Sector 19 Dwarka;4
7500000;1300;Dwarka Mor;4
7000000;1200;Dwarka Mor;4
5500000;1050;Dwarka Mor;3
4700000;875;Dwarka Mor;3
3200000;630;Dwarka Mor;2
4000000;750;Dwarka Mor;2
3500000;700;Dwarka Mor;2
4300000;850;Dwarka Mor;3
4100000;800;Dwarka Mor;3
3500000;750;Dwarka Mor;3
2500000;550;Dwarka Mor;2
3900000;900;Jamia Nagar;3
2600000;800;Jamia Nagar;3
2500000;675;Jamia Nagar;2
3900000;900;Jamia Nagar;3
2500000;980;Jamia Nagar;2
2500000;540;Jamia Nagar;2
3600000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
3600000;855;Jamia Nagar;3
3400000;675;Jamia Nagar;2
3600000;855;Jamia Nagar;3
3400000;675;Jamia Nagar;2
2500000;700;Jamia Nagar;2
5000000;1000;Jamia Nagar;3
2500000;540;Jamia Nagar;2
3600000;855;Jamia Nagar;3
4100000;855;Jamia Nagar;3
3000000;1050;Jamia Nagar;3
16000000;1700;Jamia Nagar;4
3600000;855;Jamia Nagar;3
3900000;900;Jamia Nagar;3
2750000;630;Jamia Nagar;2
3700000;900;Jamia Nagar;3
3500000;675;Jamia Nagar;3
2200000;585;Jamia Nagar;2
2600000;800;Jamia Nagar;3
2500000;675;Jamia Nagar;2
3900000;900;Jamia Nagar;3
2500000;980;Jamia Nagar;2
2500000;540;Jamia Nagar;2
3600000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
2500000;675;Jamia Nagar;2
3600000;855;Jamia Nagar;3
3400000;675;Jamia Nagar;2
3600000;855;Jamia Nagar;3
3400000;675;Jamia Nagar;2
3900000;900;Jamia Nagar;3
3600000;855;Jamia Nagar;3
2500000;500;Jamia Nagar;2
3400000;675;Jamia Nagar;2
2500000;400;Sector 24 Rohini;1
4000000;650;Sector 24 Rohini;2
6200000;800;Sector 24 Rohini;3
2700000;540;Uttam Nagar;2
3800000;900;Uttam Nagar;3
6200000;1100;Uttam Nagar;4
3200000;675;Uttam Nagar;3
5700000;1100;Uttam Nagar;3
6500000;1200;Uttam Nagar;4
19000000;500;Uttam Nagar;2
3600000;810;Uttam Nagar;3
3200000;580;Uttam Nagar;2
17000000;1850;Sector 12 Dwarka;3
13500000;2000;Sector 6 Dwarka;3
14800000;1900;Sector 19 Dwarka;3
14800000;1500;Sector 6 Dwarka;3
17000000;2350;Sector 7 Dwarka;3
29500000;3000;Sector 12 Dwarka;4
16500000;1950;Sector 22 Dwarka;3
16000000;1900;Sector 18A Dwarka;3
16500000;1900;Sector 22 Dwarka;3
16000000;1900;Sector 13 Dwarka;3
17400000;1800;Pochanpur Colony;3
2700000;540;Dwarka Mor;2
3800000;900;Dwarka Mor;3
5700000;1100;Dwarka Mor;4
2900000;675;Dwarka Mor;3
6200000;1100;Dwarka Mor;3
6500000;1200;Dwarka Mor;4
3600000;810;Dwarka Mor;3
3200000;580;Dwarka Mor;2
17500000;1900;Sector 23 Dwarka;3
16500000;1900;Sector 6 Dwarka;3
15500000;2050;Sector 12 Dwarka;3
12900000;1850;Sector 12 Dwarka;3
17000000;2000;Sector 4 Dwarka;3
25000000;3000;Sector 12 Dwarka;4
15000000;1800;Sector 12 Dwarka;3
16000000;2100;Sector 9 Dwarka;3
14500000;1750;Sector 3 Dwarka;3
12800000;1900;Sector 11 Dwarka;3
14000000;1800;Sector 6 Dwarka;3
33500000;3500;Sector 19 Dwarka;4
15000000;1800;Sector 12 Dwarka;3
16000000;1800;Sector 19 Dwarka;3
14900000;1880;Sector 13 Dwarka;3
16500000;2250;Sector 2 Dwarka;3
16500000;2000;Sector 19 Dwarka;3
29000000;2600;Sector 12 Dwarka;4
14500000;2000;Sector 3 Dwarka;3
15500000;1900;Sector 6 Dwarka;3
16299999;1800;Sector 12 Dwarka;3
25500000;2800;Sector 6 Dwarka;4
25600000;2600;Sector 6 Dwarka;4
17500000;2500;Sector 11 Dwarka;4
29500000;3500;Sector 12 Dwarka;5
18000000;2250;Sector 4 Dwarka;4
16500000;2000;Sector 22 Dwarka;3
15800000;2000;Sector 10 Dwarka;3
15800000;2200;Sector 12 Dwarka;4
13500000;1900;Sector-18 Dwarka;3
15000000;2000;Sector 5 Dwarka;4
14500000;1800;Sector 12 Dwarka;3
15000000;1900;Sector 13 Dwarka;3
14500000;2000;Sector 23 Dwarka;3
17900000;2100;Sector 6 Dwarka;3
16000000;2000;Sector 10 Dwarka;3
17000000;2000;Sector 12 Dwarka;3
14500000;2000;Sector 19 Dwarka;3
20000000;2000;Sector-18 Dwarka;4
15500000;1800;Sector 12 Dwarka;3
15000000;2000;Sector 12 Dwarka;3
14500000;2000;Sector 18A Dwarka;3
15500000;2000;Sector 11 Dwarka;3
16000000;1950;Sector 23 Dwarka;3
14500000;2000;Sector 10 Dwarka;3
13500000;2000;Sector 13 Dwarka;3
15600000;1950;Sector 12 Dwarka;3
17000000;2500;Sector 23 Dwarka;3
15500000;1900;Sector 6 Dwarka;3
15500000;2000;Sector 22 Dwarka;3
15500000;1850;Sector 22 Dwarka;3
15000000;1950;Sector 6 Dwarka;3
19500000;2000;Sector 11 Dwarka;3
19800000;2000;Sector 11 Dwarka;3
15500000;2000;Sector 12 Dwarka;3
19000000;2500;Sector 4 Dwarka;4
15000000;1800;Sector 6 Dwarka;3
14500000;1800;Sector 10 Dwarka;3
14500000;1800;Sector 11 Dwarka;3
22500000;2400;Sector 19 Dwarka;4
15000000;1800;Sector 6 Dwarka;3
14000000;1600;Sector 13 Dwarka;3
16500000;1800;Sector 10 Dwarka;3
15000000;1750;Sector 4 Dwarka;3
16000000;1800;Sector-18 Dwarka;3
29800000;4200;Sector 12 Dwarka;5
19800000;2000;Sector 11 Dwarka;3
18500000;2000;Sector 7 Dwarka;3
19800000;2000;Sector 11 Dwarka;3
25500000;2000;Sector 23 Dwarka;4
20500000;1950;Sector 4 Dwarka;4
2351000;650;Dwarka Mor;2
2451000;550;Mansa Ram Park;2
5500000;900;Sewak Park;3
3621000;900;Uttam Nagar;3
15400000;1800;Sector 3 Dwarka;3
14000000;1500;Sector 4 Dwarka;3
12500000;1300;Sector 19 Dwarka;2
12500000;1300;Sector 19 Dwarka;2
17500000;1900;Sector 23B Dwarka;3
16500000;1900;Sector 23B Dwarka;3
13799999;1500;Sector 3 Dwarka;3
14000000;1700;Sector-18 Dwarka;3
14800000;1600;Sector 11 Dwarka;3
22500000;2000;Sector 19 Dwarka;4
21500000;2300;Sector 5 Dwarka;4
17500000;1700;Sector 6 Dwarka;3
12500000;1500;Sector 12 Dwarka;3
